Journal,Quartile,IF
journal of behavioral health services research,Q3,1.6
journal of behavioral medicine,Q2,2.7
journal of behavioral science,Q3,0.7
journal of behcet uz childrens hospital,Q4,0.2
journal of belgian history revue belge d histoire contemporaine belgisch tijdschrift voor nieuwste geschiedenis,Q3,0.1
journal of beliefs values studies in religion education,Q2,1.4
journal of benefit cost analysis,Q2,1.9
journal of berry research,Q2,2.5
journal of biblical literature,,0.4
journal of big data,Q1,10.8
journal of bio x research,Q4,2.3
journal of bioactive and compatible polymers,Q3,1.9
journal of biochemical and molecular toxicology,Q2,3.6
journal of biochemistry,Q3,2.4
journal of bioenergetics and biomembranes,Q2,3.7
journal of bioethical inquiry,Q2,2.1
journal of biogeography,Q2,3.5
journal of bioinformatics and computational biology,Q4,0.8
journal of biological chemistry,Q2,4.1
journal of biological dynamics,Q2,2.7
journal of biological education,Q3,1.2
journal of biological engineering,Q1,6.3
journal of biological inorganic chemistry,Q2,2.8
journal of biological physics,Q3,2
journal of biological research bollettino della societa italiana di biologia sperimentale,Q4,0.6
journal of biological research thessaloniki,Q4,0.8
journal of biological rhythms,Q2,3
journal of biological systems,Q3,1.3
journal of biologically active products from nature,Q4,1.3
journal of biomaterials applications,Q3,2.4
journal of biomaterials science polymer edition,Q2,3.5
journal of biomechanical engineering transactions of the asme,Q4,1.6
journal of biomechanical science and engineering,Q4,1
journal of biomechanics,Q2,2.9
journal of biomedical informatics,Q2,5.9
journal of biomedical materials research part a,Q2,3.8
journal of biomedical materials research part b applied biomaterials,Q3,3
journal of biomedical optics,Q2,3.3
journal of biomedical research,Q2,3.7
journal of biomedical science,Q1,14.5
journal of biomedical semantics,Q2,2.6
journal of biomimetics biomaterials and biomedical engineering,Q4,0.6
journal of biomolecular nmr,Q2,2.1
journal of biomolecular structure dynamics,Q3,2.5
journal of bionic engineering,Q1,4.4
journal of biopharmaceutical statistics,Q2,1.3
journal of biophotonics,Q3,2
journal of bioresources and bioproducts,Q1,19.9
journal of biosafety and biosecurity,Q1,3.5
journal of bioscience and bioengineering,Q3,2.5
journal of biosciences,Q3,1.7
journal of biosocial science,Q3,1.4
journal of biosystems engineering,Q2,2.9
journal of biotechnology,Q2,4
journal of bisexuality,Q2,1.3
journal of black psychology,Q1,3.2
journal of black studies,Q3,1
journal of blood medicine,Q3,2.1
journal of bodywork and movement therapies,Q3,1.3
journal of bone and joint infection,Q1,2.7
journal of bone and joint surgery american volume,Q1,4.5
journal of bone and mineral metabolism,Q3,2.9
journal of bone and mineral research,Q1,6.5
journal of bone oncology,Q2,3.6
journal of borderlands studies,Q3,1.2
journal of brachial plexus and peripheral nerve injury,Q4,1.1
journal of brand management,Q1,6.2
journal of breast cancer,Q2,3.6
journal of breast imaging,Q3,1.7
journal of breath research,Q2,2.7
journal of bridge engineering,Q2,3.8
journal of british and irish innovative poetry,,<0.1
journal of british cinema and television,,0.2
journal of british studies,Q1,0.9
journal of broadcasting electronic media,Q2,2.3
journal of bronchology interventional pulmonology,Q3,2.3
journal of bryology,Q4,0.7
journal of building engineering,Q1,8.1
journal of building performance simulation,Q2,3.2
journal of building physics,Q3,2.3
journal of burn care research,Q2,1.9
journal of business analytics,Q3,1.9
journal of business and psychology,Q1,4.8
journal of business and technical communication,Q1,3.3
journal of business economic statistics,Q1,2.4
journal of business economics,Q1,3.8
journal of business economics and management,Q1,2.9
journal of business ethics,Q1,6.3
journal of business finance accounting,Q2,2.6
journal of business finance librarianship,Q2,1.9
journal of business industrial marketing,Q2,4.1
journal of business logistics,Q1,10.7
journal of business research,Q1,11.1
journal of business to business marketing,Q3,1.8
journal of business venturing,Q1,8.1
journal of cachexia sarcopenia and muscle,Q1,9.9
journal of canadian studies revue d etudes canadiennes,,0.3
journal of cancer,Q2,3.4
journal of cancer education,Q3,1.6
journal of cancer metastasis and treatment,Q4,1.6
journal of cancer policy,Q3,2.2
journal of cancer prevention,Q3,2.5
journal of cancer research and clinical oncology,Q2,3.3
journal of cancer research and therapeutics,Q4,1.4
journal of cancer survivorship,Q1,3.4
journal of cannabis research,Q2,3.8
journal of carbohydrate chemistry,Q4,1
journal of cardiac failure,Q1,9.9
journal of cardiac surgery,Q4,0.4
journal of cardiology,Q2,3.5
journal of cardiopulmonary rehabilitation and prevention,Q2,2.9
journal of cardiothoracic and vascular anesthesia,Q2,2.6
journal of cardiothoracic surgery,Q3,1.6
journal of cardiovascular aging,Q1,4.4
journal of cardiovascular and thoracic research,Q3,1.4
journal of cardiovascular computed tomography,Q1,5.4
journal of cardiovascular development and disease,Q2,2.6
journal of cardiovascular echography,Q4,1.1
journal of cardiovascular electrophysiology,Q2,2.4
journal of cardiovascular emergencies,Q4,0.5
journal of cardiovascular magnetic resonance,Q1,5
journal of cardiovascular medicine,Q2,2.6
journal of cardiovascular nursing,Q2,2.3
journal of cardiovascular pharmacology,Q2,2.5
journal of cardiovascular pharmacology and therapeutics,Q2,2.9
journal of cardiovascular surgery,Q3,1.3
journal of cardiovascular translational research,Q2,2.6
journal of career assessment,Q2,3.3
journal of career development,Q3,2.4
journal of cases on information technology,Q4,1.4
journal of catalysis,Q1,6
journal of cataract and refractive surgery,Q1,3.7
journal of causal inference,Q2,2.2
journal of cave and karst studies,Q4,0.3
journal of cell biology,Q2,6.1
journal of cell communication and signaling,Q3,4
journal of cell science,Q3,3.9
journal of cellular and molecular medicine,Q2,4.7
journal of cellular automata,Q4,0.3
journal of cellular biochemistry,Q3,3
journal of cellular physiology,Q1,4
journal of cellular plastics,Q2,3
journal of central banking theory and practice,Q3,1.7
journal of central european agriculture,Q4,0.8
journal of central nervous system disease,Q3,2.4
journal of central south university,Q1,4.7
journal of ceramic processing research,Q3,1.4
journal of ceramic science and technology,Q4,0.9
journal of cereal science,Q2,4.3
journal of cerebral blood flow and metabolism,Q1,4.7
journal of change management,Q2,3.1
journal of chemical and engineering data,Q3,2.4
journal of chemical crystallography,Q4,0.7
journal of chemical ecology,Q3,2.1
journal of chemical education,Q1,3
journal of chemical engineering of japan,Q3,1.9
journal of chemical information and modeling,Q1,6.4
journal of chemical metrology,Q4,1.5
journal of chemical neuroanatomy,Q3,2.6
journal of chemical physics,Q1,3.7
journal of chemical research,Q3,1.5
journal of chemical sciences,Q3,1.8
journal of chemical technology and biotechnology,Q3,2.7
journal of chemical theory and computation,Q1,5.8
journal of chemical thermodynamics,Q2,2.5
journal of cheminformatics,Q1,7.9
journal of chemistry,Q2,4
journal of chemistry and technologies,Q4,0.5
journal of chemometrics,Q1,2
journal of chemotherapy,Q3,2.1
journal of chest surgery,Q3,1.5
journal of child adolescent substance use,,N/A
journal of child adolescent trauma,Q1,2.2
journal of child and adolescent mental health,Q3,1.7
journal of child and adolescent psychiatric nursing,Q3,1.5
journal of child and adolescent psychopharmacology,Q2,1.8
journal of child and family studies,Q2,2.1
journal of child cocuk dergisi,Q4,0.2
journal of child health care,Q2,1.9
journal of child language,Q1,2.1
journal of child neurology,Q3,1.6
journal of child psychology and psychiatry,Q1,6.6
journal of child psychotherapy,Q4,1
journal of child science,Q4,0.2
journal of child sexual abuse,Q3,1.3
journal of childhood studies,Q4,0.6
journal of children and media,Q1,2.3
journal of childrens orthopaedics,Q2,1.8
journal of childrens services,Q4,0.7
journal of china tourism research,Q2,2.3
journal of chinese cinemas,,0.5
journal of chinese economic and business studies,Q1,3.7
journal of chinese economic and foreign trade studies,Q2,2
journal of chinese governance,Q1,5.5
journal of chinese history,Q1,0.5
journal of chinese human resources management,Q3,2.6
journal of chinese linguistics,Q4,0.2
journal of chinese literature and culture,,0.2
journal of chinese military history,Q2,0.3
journal of chinese overseas,Q4,0.3
journal of chinese philosophy,,0.5
journal of chinese political science,Q1,5.4
journal of chinese religions,,0.8
journal of chinese sociology,Q1,2.7
journal of chinese writing systems,Q4,0.3
journal of chiropractic education,Q4,0.6
journal of chiropractic medicine,Q3,1.4
journal of choice modelling,Q1,2.8
journal of christian nursing,Q4,0.4
journal of chromatographic science,Q3,1.8
journal of chromatography a,Q2,4
journal of chromatography b analytical technologies in the biomedical and life sciences,Q3,2.5
journal of chromatography open,Q2,3.6
journal of church and state,,0.3
journal of circuits systems and computers,Q4,1
journal of circular economy,Q3,3.1
journal of civil engineering and management,Q2,3
journal of civil engineering education,Q2,2.2
journal of civil society,Q3,1.1
journal of civil structural health monitoring,Q1,4.9
journal of classical sociology,Q4,0.5
journal of classics teaching,,0.5
journal of classification,Q2,1.8
journal of cleaner production,Q1,10.7
journal of climate,Q2,4.3
journal of climate change,Q4,0.7
journal of climate change and health,Q1,4.5
journal of clinical and diagnostic research,Q4,0.2
journal of clinical and experimental hematopathology,Q4,1.4
journal of clinical and experimental hepatology,Q2,3.4
journal of clinical and experimental neuropsychology,Q2,2
journal of clinical and translational endocrinology,Q1,4.9
journal of clinical and translational hepatology,Q1,6
journal of clinical and translational science,Q3,2.7
journal of clinical anesthesia,Q1,6
journal of clinical apheresis,Q2,2.8
journal of clinical biochemistry and nutrition,Q3,1.9
journal of clinical child and adolescent psychology,Q1,5.2
journal of clinical densitometry,Q3,2.5
journal of clinical endocrinology metabolism,Q1,5.4
journal of clinical epidemiology,Q1,5.8
journal of clinical gastroenterology,Q3,2.7
journal of clinical hypertension,Q2,2.9
journal of clinical imaging science,Q4,1.1
journal of clinical immunology,Q2,4.1
journal of clinical investigation,Q1,14.3
journal of clinical laboratory analysis,Q2,2.5
journal of clinical lipidology,Q1,6.9
journal of clinical medicine,Q1,3.3
journal of clinical medicine research canada,Q2,2.2
journal of clinical microbiology,Q1,5.9
journal of clinical monitoring and computing,Q2,2.6
journal of clinical neonatology,Q4,0.4
journal of clinical neurology,Q2,3.6
journal of clinical neurophysiology,Q3,1.8
journal of clinical neuroscience,Q3,1.9
journal of clinical nursing,Q1,3.6
journal of clinical obstetrics and gynecology,Q4,0.3
journal of clinical oncology,Q1,44.7
journal of clinical pathology,Q2,2.6
journal of clinical pediatric dentistry,Q2,2.3
journal of clinical periodontology,Q1,8.3
journal of clinical pharmacology,Q3,2.2
journal of clinical pharmacy and therapeutics,Q4,1.1
journal of clinical practice and research,Q4,0.4
journal of clinical psychiatry,Q1,4.2
journal of clinical psychology,Q2,2.7
journal of clinical psychology in medical settings,Q3,1.6
journal of clinical psychopharmacology,Q2,2.9
journal of clinical research in pediatric endocrinology,Q2,1.9
journal of clinical sciences,Q4,0.3
journal of clinical sleep medicine,Q2,3.4
journal of clinical sport psychology,Q3,1.5
journal of clinical tuberculosis and other mycobacterial diseases,Q3,2.3
journal of clinical ultrasound,Q3,1.3
journal of clinical urology,Q4,1.1
journal of clinical virology,Q2,3.7
journal of clinical virology plus,Q4,1.1
journal of cloud computing advances systems and applications,Q1,5.5
journal of cluster science,Q1,4.1
journal of co operative organization and management,Q3,1.8
journal of co2 utilization,Q1,8.6
journal of coastal conservation,Q2,2.2
journal of coatings technology and research,Q2,3.4
journal of cognition,Q1,3.1
journal of cognition and culture,Q4,0.5
journal of cognition and development,Q2,2.6
journal of cognitive engineering and decision making,Q3,1.8
journal of cognitive enhancement,Q4,1.2
journal of cognitive neuroscience,Q2,3
journal of cognitive psychology,Q4,1.5
journal of cognitive psychotherapy,Q4,0.8
journal of cognitive science,Q4,0.2
journal of cold regions engineering,Q3,1.9
journal of cold war studies,Q1,0.6
journal of college of sharia and islamic studies,,0.4
journal of college student development,Q2,1.7
journal of college student mental health,Q3,2
journal of college student retention research theory practice,Q3,1.2
journal of colloid and interface science,Q1,9.6
journal of combinatorial algebra,Q1,1.3
journal of combinatorial designs,Q2,0.8
journal of combinatorial optimization,Q3,0.8
journal of combinatorial theory series a,Q1,1.7
journal of combinatorial theory series b,Q1,1.3
journal of combinatorics,Q4,0.4
journal of combustion,Q4,1.3
journal of commodity markets,Q1,5.2
journal of commonwealth literature,,0.4
journal of communication,Q1,5.3
journal of communication disorders,Q1,2.2
journal of communication in healthcare,Q2,2
journal of communication inquiry,Q3,1.1
journal of communication management,Q1,3.4
journal of communications and networks,Q3,3
journal of communications software and systems,Q4,0.7
journal of communications technology and electronics,Q4,0.4
journal of community applied social psychology,Q3,1.8
journal of community genetics,Q4,1.8
journal of community health,Q3,2.1
journal of community health nursing,Q2,1.9
